Customers Lists:
CID, First Name, Last Name, Phone Number, Birthday, Address, Email, Customer ID, Rewards Membership, 
0,Zion, Clayton, 972-315-1963, 10/26/1997, Maple Road Texas Mesquite 75150, Zion_Clayton@mail.com, 0, False
1,Joslyn, Santiago, 214-938-4270, 3/1/1989, Crossburn Road Texas Plano 75023, Joslyn_Santiago@mail.com, 1, True
2,Carl, Dodson, 469-625-6521, 7/2/1998, Elm Avenue Texas Dallas 75201, Carl_Dodson@mail.com, 2, False
3,Savanna, Shepherd, 214-514-2431, 1/8/1992, Lakewood Street Texas Garland 75040, Savanna_Shepherd@mail.com, 3, False
4,Gordon, Archer, 469-162-9338, 1/13/1978, Washing Avenue Texas Arlington 76001, Gordon_Archer@mail.com, 4, True
5,Simon, Sweeney, 469-193-7943, 10/4/2000, "Luthers Route Texas Irving 75014", Simon_Sweeney@mail.com, 5, False
6,Madeline, Haley, 972-215-7933, 4/6/1969, Electric Avenue Texas Irving 75014, Madeline_Haley@mail.com, 6, False
7,Dereon, Rich, 469-652-6120, 12/9/1967, Sabbath Road Texas Richardson 75080, Dereon_Rich@mail.com, 7, False
8,Raegan, Gonzales, 214-671-3679, 7/9/1996, Guston Road Texas Richardson 75080, Raegan_Gonzales@mail.com, 8, True
9,Lola, Montes, 214-152-3805, 6/20/1968, Dirt Road Texas Plano 75023, Lola_Montes@mail.com, 9, False
10,Whitney, Dyer, 214-935-2369, 9/15/1988, "Farmers Way Texas Mesquite 75150", Whitney_Dyer@mail.com, 10, False
11,Erik, Newman, 972-722-7862, 4/11/1983, Taming Road Texas Mesquite 75150, Erik_Newman@mail.com, 11, True
12,Jaylen, Ball, 214-710-8693, 8/16/1995, Clifford Street Texas Plano 75023, Jaylen_Ball@mail.com, 12, True
